id;type;text;ord;state
4d326873-86ad-43ca-93f5-ffe57a33173f;WHATSAPP;generously er;20422;INACTIVE
21cc4e21-6c2c-437a-a680-531d3e947c5b;TIKTOK;provided graduate irresponsible;19906;DELETED
19009d45-a566-4fb4-87b6-99a96f92bc80;FACEBOOK;cultivated following why;22147;ACTIVE
f75cffab-607d-4566-894d-c04be9c3e8f4;INSTAGRAM;bidder upside-down;8607;INACTIVE
f5282044-5662-43d2-9b9c-a8cc0860ab98;FACEBOOK;hm phew nicety;4347;INACTIVE
134a9347-df19-47c4-b766-439bdfc03080;TELEGRAM;serene;12776;DELETED
7597a3d1-447f-482d-ae25-4dac930046df;WHATSAPP;forthright;12870;INACTIVE
23ebb820-7e97-4526-96f9-a42b365017f4;INSTAGRAM;so;31708;ACTIVE
f83e6aa4-f5a8-4ee1-b495-378640eade9c;TIKTOK;yahoo incidentally practical;14159;ACTIVE
f5395b4f-8d81-4021-b5ec-8f7c2ff650ba;PHONE_NUMBER;ew delicious notwithstanding;12051;ACTIVE
