id;hashtag;gender;state
1ad95482-c48f-44b5-b116-c29750c7f797;adventurously;MALE;DELETED
bf3c4697-adcf-48a1-9dfb-08837e2e3698;maelstrom alb;FEMALE;ACTIVE
32d35112-58fd-4dc3-8655-996bc4a77183;down degree or;FEMALE;INACTIVE
ee04c8f2-b9bc-47a6-8683-19cf95ef79ff;rambler sleepily;MALE;ACTIVE
895794c1-9c4a-4ea4-a9ce-d2f8460e032a;once righteously;FEMALE;INACTIVE
423f6796-f55c-4627-87df-5a50f9e0e7ff;plus lake;MALE;INACTIVE
180bf58b-44a6-4282-93a9-f2cc42c08bed;boar;FEMALE;INACTIVE
ef515f0a-d3ff-4b59-a1ba-24a50e7d61cb;wise;MALE;INACTIVE
b59fe409-1d8a-43a1-987e-389b029af27c;conviction salute;MALE;INACTIVE
939b5c34-cc3e-4031-be4b-5653970d341a;excepting vivacious even;MALE;DELETED
