id;gender;age;height;weight;education;profession;work_place;is_healthy;health_issues;date_of_birth;place_of_birth;marital_status;child_plan_in_future;num_of_members_in_family;num_of_children_in_family;birth_position_in_family;has_own_dwelling;want_to_study;want_to_work;ready_to_relocate;knowledge_of_languages;skills;bio;requirements;profile_state
42a8a526-fd4f-4423-b55e-029ec6759d34;MALE;47;25388.34;24676.94;COMPLETE_HIGHER_BACHELOR_EDUCATION;ask defiant;reef sluice bafflement;true;furthermore;2024-07-25;internalise where;WIDOW;HAVE_CHILDREN_AND_DONT_WANT_MORE;3;15;7;true;false;true;false;although underwear;unpleasant psst whoever;out boohoo;crease psst;BLOCKED
c12e5679-1d19-4c99-8eeb-b7754e83611c;MALE;79;29578.3;10205.13;SECONDARY_EDUCATION;though urban psst;tug;false;generously;2024-07-25;furthermore glistening;WIDOW;HAVE_CHILDREN_AND_DONT_WANT_MORE;17;11;8;false;true;false;false;during venue educate;underpass kissingly hunch;titanium;marshmallow;ACCEPTED
5c8f61ae-e396-4021-a776-164729aa56f6;FEMALE;96;8224.96;28376.21;COMPLETE_HIGHER_BACHELOR_EDUCATION;truly;calm gently shaw;false;replicate ah;2024-07-25;sympathetically partial;DIVORCED_NOT_THROUGH_COURT;HAVE_CHILDREN_AND_DONT_WANT_MORE;5;15;20;false;true;true;false;ack;hm oddly;freezer;communicant;BLOCKED
ff468e51-3ab1-4b6c-91d7-9ec2f835a270;MALE;22;26456.22;2022.84;COMPLETE_HIGHER_MASTER_EDUCATION;outside;boo;true;worth revascularisation;2024-07-25;psst;DIVORCED_THROUGH_COURT;HAVE_CHILDREN_AND_DONT_WANT_MORE;18;11;4;false;true;true;true;tam-o'-shanter midst thorough;sugary uh-huh playful;timer spry;willing stray revascularization;NEW
a92e202b-1464-4adf-b7c9-9753f88d2ed3;FEMALE;96;19066.69;9690.95;INCOMPLETE_HIGHER_BACHELOR_EDUCATION;meanwhile beloved;eurocentrism until;true;ew wrong gee;2024-07-24;purport;DIVORCED_THROUGH_COURT;NOT_SURE_YET;20;19;10;true;true;false;false;reincarnate torn;outbid healthily;greatly what instead;same questioningly;BLOCKED
16d83e35-9a6f-47c8-b17b-eb2708a508fe;FEMALE;18;14944.97;6850.81;INCOMPLETE_HIGHER_MASTER_EDUCATION;joshingly biodegradable brr;ladle;false;whoever;2024-07-25;mass;WIDOW;HAVE_CHILDREN_AND_WANT_MORE;17;13;17;true;true;false;false;agonizing;muck stitcher;vendor woot quirkily;when per rotation;NEW
59e3a343-82f7-4d71-a0c3-45999a5b6990;MALE;98;8341.78;2915.72;INCOMPLETE_HIGHER_BACHELOR_EDUCATION;nor;considering ponce er;true;barring politely;2024-07-25;voice transaction;DIVORCED_NOT_THROUGH_COURT;NOT_SURE_YET;15;5;12;true;false;false;true;following;elegant infamous;evenly who latch;instead;ACCEPTED
c17d84ac-9f22-48d5-9b8b-95e47d08ff68;FEMALE;46;31066.11;2707.03;COMPLETE_HIGHER_MASTER_EDUCATION;pish;weekly;true;anenst phooey;2024-07-25;zowie;DIVORCED_THROUGH_COURT;DONT_WANT_CHILDREN;1;4;15;false;true;true;false;as measly bunker;mirror idle;cripple;trembling;BLOCKED
25f31e45-fdc8-4389-9a2c-9659d8f0244a;FEMALE;48;27606.36;30791.7;SECONDARY_EDUCATION;frame;alert sandblast;false;as broadly;2024-07-24;frilly repulsive bashfully;DIVORCED_THROUGH_COURT;DONT_WANT_CHILDREN;5;10;17;false;true;true;true;across rundown trooper;dreamily cost drat;after uh-huh abaft;before mmm an;BLOCKED
8f6f7c70-d924-4bbc-8ea4-b496b644a2a1;MALE;48;15703.8;16457.98;COMPLETE_HIGHER_MASTER_EDUCATION;yum;upon mmm;false;gosh piano relaxation;2024-07-25;oh where;DIVORCED_NOT_THROUGH_COURT;DONT_WANT_CHILDREN;5;13;10;true;false;false;true;very awkward outsource;snag;across peaceful;oh;ACCEPTED
